product_id,product_name,product_group,product_brand,category_id,supplier_id
7903,I'm Perfect Mangoes Prepacked,Mangoes,Coles,6,2
7904,Keitt Mangoes,Mangoes,Coles,6,2
7905,Medium Navel Oranges,Oranges,Fresh,6,2
7906,Navel Oranges,Oranges,Coles,6,2
7907,Navel Oranges Prepacked,Oranges,Coles,6,2
7908,Blood Oranges,Oranges,Fresh,6,2
7909,Valencia Oranges,Oranges,Coles,6,2
7910,Yellow Peaches,Peaches & nectarines,Coles,6,2
7911,Topless Pineapple,Pineapples,Coles,6,2
7912,Topless Pineapple Half,Pineapples,Coles,6,2
7913,Mini Sweet Pineapple,Pineapples,Coles,6,2
7914,Pineapple Tops On,Pineapples,Coles,6,2
7915,Baby Beetroot Prepacked,Beetroot,Coles,7,3
7916,Beetroot Loose,Beetroot,Coles,7,3
7917,Prepacked Organic Beetroot,Beetroot,Coles,7,3
7918,Beetroot,Beetroot,Coles,7,3
7919,Organic Beetroot Prepacked,Beetroot,Coles,7,3
7920,Broccoli,Broccoli & cauliflower,Coles,7,3
7921,Hokkien Noodles,Broccoli & cauliflower,Fantastic,7,3
7922,Cauliflower Medium,Broccoli & cauliflower,Coles,7,3
7923,Baby Broccoli,Broccoli & cauliflower,Coles,7,3
7924,Broccolini Family Pack,Broccoli & cauliflower,Coles,7,3
7925,Half Cauliflower,Broccoli & cauliflower,Coles,7,3
7926,Purple Cauliflower Medium,Broccoli & cauliflower,Coles,7,3
7927,Organic Baby Broccoli,Broccoli & cauliflower,Coles,7,3
7928,Organic Broccoli Prepacked,Broccoli & cauliflower,Coles,7,3
7929,Purple Baby Broccoli,Broccoli & cauliflower,Coles,7,3
7930,Organic Cauliflower Prepacked,Broccoli & cauliflower,Coles,7,3
7931,Red Capsicum,Capsicum & chillies,Coles,7,3
7932,Green Capsicum Loose,Capsicum & chillies,Coles,7,3
7933,Yellow Capsicum,Capsicum & chillies,Coles,7,3
7934,Sweet Baby Capsicums Prepacked,Capsicum & chillies,Coles,7,3
7935,I'm Perfect Mixed Capsicums,Capsicum & chillies,Coles,7,3
7936,Red Cayenne Chillies,Capsicum & chillies,Fresh,7,3
7937,Tri Colour Capsicum Pack,Capsicum & chillies,Coles,7,3
7938,Red Chilli Prepacked,Capsicum & chillies,Coles,7,3
7939,Mini Capsicums,Capsicum & chillies,Coles,7,3
7940,Birdseye Chillies,Capsicum & chillies,Coles,7,3
7941,Green Cayenne Chillies,Capsicum & chillies,Fresh,7,3
7942,Birdseye Chillies,Capsicum & chillies,Coles,7,3
7943,Green Cayenne Chillies Prepacked,Capsicum & chillies,Coles,7,3
7944,Jalapeno Chilli Prepacked,Capsicum & chillies,Coles,7,3
